"rent_station_name","rent_station_no","cnt_day","cnt_per_day","return_rate","bw_rate","weekend_rate","avg_distance","avg_used_time","avg_user_age","morning_ratio","evening_ratio","peak_ratio","variance_norm","entropy"
마곡13단지,1184,365,112.78356164383561,1.0291259777486275,0.05587135014332216,0.11358888403051061,1576.886921974445,14.195986979546227,35.79232788450066,0.37560122431132487,0.12935432152747411,0.1843997473643298,0.001518905507105174,2.8059615517613503
페코텍글로벌허브빌딩 앞,4382,365,78.28767123287672,1.1175853018372703,0.036255468066491686,0.06428696412948381,1858.4888584426938,16.418267716535432,34.69733889067009,0.288503937007874,0.16811898512685916,0.13196850393700787,0.0014765976896151322,2.7699828483390485
신방화역 6번출구,3757,365,59.0986301369863,0.9903574243196884,0.04084187103055027,0.13249269853043438,1155.4550271197427,12.170738491493209,34.054841379310346,0.14018821565991377,0.2889064021139493,0.11858513745306198,0.0011160606576835171,2.802225451074986
시범아파트버스정류장 옆,222,365,56.04931506849315,1.0140776224459869,0.033923159644148985,0.08857170788933424,1915.0056813960307,18.13652360934598,39.496672716273444,0.19004790302082314,0.21781210284485286,0.12269039006745527,0.0009244256753081,2.89385594024384
잠실주공5단지1,4897,365,100.77808219178083,0.9953512396694215,0.045182688125271854,0.1275554588951718,1742.0977011744294,16.53838625489343,36.64203760244255,0.3397129186602871,0.14144736842105263,0.14190952588081776,0.0012204364409139543,2.8185272472990315
마곡엠밸리4단지 정문,1112,365,138.3890410958904,0.9912891986062717,0.042524548622109595,0.11900142540386442,1392.6758273281587,13.707792207792208,34.815835160818715,0.14657903072537218,0.2382404181184669,0.08766233766233766,0.0006085785853706,2.983593300667379
반포종합운동장 입구,2215,354,22.836158192090394,1.071870361207323,0.025977238990598714,0.12988619495299356,3060.7215957446797,27.91316180108857,37.81184510250569,0.1284017812963879,0.21474517565561604,0.08485898070262246,0.0007759561766769,2.923657530612751
영등포시장역 포레나영등포,4574,365,132.95342465753424,1.0019782393669634,0.039606000659413124,0.12098170128585559,1434.2525710929744,17.827151335311573,36.27056845893411,0.19625783053082754,0.2455283547642598,0.10762858555885262,0.0007970839600598,2.944040058842738
서부식자재마트 건너편,729,365,48.24109589041096,1.0614493412085415,0.04276465243071331,0.12238755111313039,2262.712701612902,18.34961381190368,36.79098118896244,0.30872330758746025,0.15799636528850522,0.14033393911858247,0.0011291360577339125,2.8596167913613044
거여역 8번출구 뒤,1227,364,38.78846153846154,1.0133862171541894,0.035767405623627735,0.09164955025143423,2378.9700127487768,19.24520150152277,41.363450196592396,0.2523549826474963,0.23436504001699837,0.11495148381613429,0.0009226966750092,2.9201093376244267
마곡 필네이처,2723,365,97.24657534246575,1.059614030145091,0.037329201295957175,0.09494294971122694,1539.6848232145396,13.997013663896324,35.343872999212806,0.18926609381603043,0.25769826736160023,0.1355683899140724,0.0008775528394496,2.9450322706982335
상일동산(동아아파트앞 교차로),3688,356,9.404494382022472,1.0224014336917562,0.02986857825567503,0.11081242532855436,2547.5740113500606,21.23984468339307,40.54545454545455,0.20758661887694146,0.19982078853046592,0.0931899641577061,0.0007357263643315,2.947710843199686
