"station_no","station_name","district_name","detail_address","latitude","longitude","install_period","lcd_rack_count","qr_rack_count","operation_type","source_file"
788,양천구청역 2번출구 옆,양천구,양천구 목동로3길 57,37.51228714,126.86528015,"2020-03-06 00:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
790,화곡고가 사거리,양천구,양천구 신월동 455-5,37.52760696,126.84875488,"2020-03-11 00:00:00",,30.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
791,현대하이페리온,양천구,오목로300(205동앞 서쪽방향),37.52490616,126.86978912,"2020-03-13 00:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
792,목동트라팰리스 웨스턴에비뉴,양천구,오목로299(이마트 출입구측),37.52537155,126.8709259,"2020-03-13 00:00:00",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
793,목동5단지아파트 534동,양천구,서울특별시 양천구 목동동로 350 목동신시가지아파트5단지,37.53302002,126.87789917,"2020-03-12 00:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
794,양천문화회관,양천구,양천구 신정동 323-1,37.51686478,126.86296082,"2020-04-20 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
795,양천 해누리타운,양천구,양천구 신정동 327-4,37.51584244,126.86411285,"2020-04-20 00:00:00",,22.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
796,목동아파트 14단지 B상가 앞,양천구,양천구 신정동 330,37.5146637,126.87194061,"2020-04-20 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
797,목동아파트 1422동 1434동 사잇길,양천구,양천구 신정동 332-2,37.51515579,126.87248993,"2020-04-20 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
800,목월공원 앞,용산구,서울특별시 용산구 원효로4가 109-10 목월공원 앞,37.53243256,126.95474243,"2016-06-29 12:00:00",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
802,한강진역 2번 출구 앞,용산구,서울특별시 용산구 한남동 726-494 한강진역 2번 출구 앞,37.54115295,127.00221252,"2016-06-29 12:00:00",9.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
805,문배어린이공원 앞,용산구,서울특별시 용산구 문배동 34-10 문배어린이공원 앞,37.53675842,126.97000122,"2016-06-29 12:00:00",9.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
806,전자랜드 본관 앞,용산구,서울특별시 용산구 한강로3가 16-8 전자랜드 본관 앞,37.5330658,126.96073151,"2016-06-29 12:00:00",20.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
807,서울역 12번 출구 앞,용산구,서울특별시 용산구 동자동 14-229 서울역 12번 출구 앞,37.55227661,126.97268677,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
808,서빙고동 금호맨션 앞,용산구,서울특별시 용산구 서빙고동 235-5 서빙고동 금호맨션 앞,37.520504,126.98973846,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
809,한남 유수지 복개주차장,용산구,서울특별시 용산구 독서당로 18 한남 유수지 복개주차장,37.53016663,127.00743866,"2016-06-29 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
810,이태원지하보도,용산구,서울특별시 용산구 용산동2가 5-1812 이태원지하보도,37.53841019,126.98664856,"2016-06-29 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
811,녹사평역1번출구,용산구,서울특별시 용산구 용산동2가 6-7 녹사평역1번출구,37.53507996,126.98538208,"2016-06-29 12:00:00",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
813,삼각지역 3번출구,용산구,서울특별시 용산구 한강로1가 228-1 삼각지역 3번출구,37.53351212,126.97227478,"2016-06-29 12:00:00",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
815,LIG강촌아파트 103동앞,용산구,서울특별시 용산구 이촌동301-5 LIG강촌아파트 103동앞,37.51850891,126.97879791,"2016-06-29 12:00:00",,30.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
816,신용산역 6번출구 앞,용산구,서울특별시 용산구 한강대로 115 신용산역 6번출구 앞,37.53014755,126.96848297,"2016-07-06 12:00:00",25.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
817,삼각지역 4번출구 앞,용산구,서울특별시 용산구 한강대로 161 삼각지역 4번출구 앞,37.53345108,126.97173309,"2016-07-06 12:00:00",,9.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
818,숙명여대 입구 교차로,용산구,서울특별시 용산구 청파로47길 100 숙명여대 입구 교차로,37.54489517,126.96938324,"2016-07-06 12:00:00",,12.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
819,선린인터넷 고등학교,용산구,서울특별시 용산구 원효로97길 33-4 선린인터넷 고등학교,37.54165268,126.97050476,"2016-07-06 12:00:00",12.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
820,청파동입구 교차로,용산구,서울특별시 용산구 한강대로 349 청파동입구 교차로,37.54902649,126.97194672,"2016-07-06 12:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
822,이촌1동 마을공원,용산구,서울특별시 용산구 이촌로 219 이촌1동 마을공원,37.52202606,126.96618652,"2016-07-06 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
823,효창동주민센터 앞,용산구,서울특별시 용산구 효창원로 161 효창동주민센터 앞,37.54232025,126.96195984,"2016-07-06 12:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
825,서빙고동 주민센터 앞,용산구,서울특별시 용산구 서빙고로 279 서빙고동 주민센터 앞,37.52033615,126.9942627,"2016-07-06 12:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
826,서울역 서부교차로2,중구,서울특별시 중구 퇴계로 33 서울역 서부교차로2,37.55536652,126.96864319,"2017-08-03 13:14:52",20.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
827,국군복지단,용산구,서울특별시 용산구 두텁바위로 54-99 국군복지단,37.54188538,126.97966003,"2017-11-28 11:56:23",14.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
828,숙대입구역 8번,용산구,서울특별시 용산구 한강대로 289 숙대입구역 8번,37.54407883,126.97200012,"2017-11-28 11:57:13",7.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
829,한강대교 북단 교차로,용산구,서울특별시 용산구 한강대로 23 베르가모앞,37.52293015,126.96169281,"2017-11-28 11:57:57",40.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
830,강변삼성스위트아파트 앞,용산구,서울특별시 용산구 원효로 35 청암자이아파트앞,37.53442383,126.94857025,"2017-11-28 11:58:57",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
832,이촌1동 주민센터 뒤,용산구,서울특별시 용산구 이촌로71길 24 이촌1동 주민센터 뒤,37.5212822,126.97346497,"2017-12-22 14:16:58",20.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
834,효창공원앞역 3번출구 뒤,용산구,서울특별시 용산구 백범로 지하 287 효창공원앞역 3번출구 뒤,37.53900909,126.96138,"2017-12-22 14:18:31",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
835,남영역 건너편,용산구,서울특별시 용산구 한강대로77길 18 남영역 건너편,37.54198074,126.97154236,"2017-12-22 14:20:27",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
836,현대자동차서비스 앞,용산구,서울특별시 용산구 원효로 74 현대자동차서비스 앞,37.53142166,126.95149994,"2017-12-22 14:21:30",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
837,한남나들목 입구,용산구,서울특별시 용산구 서빙고로 417 한남나들목 입구,37.52906036,127.00672913,"2017-12-22 14:22:33",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
838,숙대입구역 4번출구,용산구,서울특별시 용산구 한강대로 지하 306 숙대입구역 4번출구,37.5444603,126.97238922,"2018-12-14 00:00:00",8.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
839,보광동 삼성리버빌아파트 앞,용산구,서울특별시 용산구 보광로5길 40 보광동 삼성리버빌아파트 앞,37.5240097,127.00144958,"2018-12-14 00:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
840,용산 파크타워 앞,용산구,서울특별시 용산구 서빙고로 67 용산 파크타워 앞,37.52365112,126.97026825,"2018-10-14 00:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
841,신용산역 1번 출구,용산구,서울특별시 용산구 한강대로 100 신용산역 1번 출구,37.52960968,126.96887207,"2018-10-12 00:00:00",,30.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
843,이태원관광특구B(용산구청쪽),용산구,서울특별시 용산구 이태원로 134 녹사평역 광장,37.53379822,126.98867035,"2018-10-07 00:00:00",,19.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
844,이촌2동 동원베네스트 아파트 앞,용산구,서울특별시 용산구 이촌로14길 7 이촌2동 동원베네스트 아파트 앞,37.5271492,126.95516205,"2018-10-19 00:00:00",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
845,용산 선인상가,용산구,서울특별시 용산구 새창로 181 선인상가,37.53269958,126.96437836,"2018-09-09 00:00:00",16.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
846,용산중학교,용산구,서울특별시 용산구 두텁바위로 74 용산중학교,37.54650116,126.9809494,"2018-12-14 00:00:00",15.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
848,삼각지12번 출구,용산구,서울특별시 용산구 이태원로 29 전쟁기념관,37.53488922,126.97562408,"2020-03-28 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
849,삼각지 자이아파트,용산구,서울특별시 용산구 한강대로 205 용산파크자이,37.53607941,126.97341919,"2020-03-30 00:00:00",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
850,KCC용산월츠타워,용산구,서울특별시 용산구 백범로90길 34 구두수선대,37.53739929,126.96892548,"2020-03-28 00:00:00",,15.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
851,효창 푸르지오 앞,용산구,서울특별시 용산구 백범로 260 효창파크 푸르지오,37.54047775,126.95811462,"2020-03-28 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
852,청암자이아파트 앞,용산구,서울특별시 용산구 삼개로 60 천년명가 청암자이,37.53452682,126.9471817,"2020-03-28 00:00:00",,30.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
853,용산역 맞은편,용산구,서울특별시 용산구 한강로2가 408-5,37.52848816,126.9658432,"2020-04-07 00:00:00",,19.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
854,HID 유족동지회 앞,용산구,서울특별시 용산구 이태원로 287 6호선 한강진역,37.53872681,127.00154877,"2020-04-05 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
855,이촌역5번출구 앞,용산구,서울특별시 용산구 서빙고로 83 4호선 이촌역,37.52272415,126.97277069,"2020-04-07 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
857,현대 안성타워,용산구,서울특별시 용산구 이태원로 261-1 구두수선대,37.53502274,126.9980545,"2020-04-07 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
858,녹사평역3번 출구,용산구,서울특별시 용산구 용산동4가 10-4,37.53440857,126.9868927,"2020-04-07 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
859,남산공원 야외식물원 앞,용산구,서울특별시 용산구 이태원동 259-16,37.54188538,126.99586487,"2020-04-05 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
860,LG한강 자이아파트 앞,용산구,서울특별시 용산구 이촌동 429,37.52074814,126.9708252,"2020-04-07 00:00:00",,22.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
863,이촌역2번 출구,용산구,서울특별시 용산구 용산동5가 17,37.52177048,126.977005,"2020-04-07 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
864,순천향대학병원(한남오거리),용산구,서울특별시 용산구 한남동 704-11,37.53514099,127.00600433,"2020-04-05 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
866,브라운스톤 남산아파트,용산구,서울특별시 용산구 후암로 65 브라운스톤 남산아파트,37.551548,126.97686005,"2020-03-30 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
867,서빙고역 광장(1번출구),용산구,서울특별시 용산구 서빙고동 241-37,37.51990891,126.98923492,"2020-04-07 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
869,노들섬 동측 앞,용산구,서울특별시 용산구 이촌동 303-8,37.51729584,126.95914459,"2020-04-03 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
870,노들섬 서측 앞,용산구,서울특별시 용산구 이촌동 304-11,37.51731873,126.95829773,"2020-04-03 00:00:00",,10.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
900,은평예술회관,은평구,서울특별시 은평구 녹번동 85-4 은평예술회관,37.60394287,126.92769623,"2016-09-02 11:00:00",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
902,진관동 은빛초등학교,은평구,서울특별시 은평구 진관동 45-21 진관동 은빛초등학교,37.64310837,126.91822052,"2016-09-02 11:00:00",10.0,,LCD,공공자전거 대여소 정보(25.12월 기준).xlsx
903,은평뉴타운 아이파크,은평구,서울특별시 은평구 진관동 13-20 은평뉴타운 아이파크,37.64586639,126.92739105,"2016-09-02 11:00:00",,20.0,QR,공공자전거 대여소 정보(25.12월 기준).xlsx
